symbol,expiry,dte,strike,type,bid,ask,mid,delta,iv
SPY,2025-11-27,3,360,call,92.21,94.07,93.14,0.8755,0.2404
SPY,2025-11-27,3,360,put,3.02,3.09,3.05,-0.0973,0.234
SPY,2025-11-27,3,366,call,86.32,88.06,87.19,0.8496,0.2405
SPY,2025-11-27,3,366,put,3.27,3.34,3.31,-0.1232,0.2492
SPY,2025-11-27,3,372,call,80.29,81.92,81.11,0.8236,0.2302
SPY,2025-11-27,3,372,put,3.07,3.14,3.11,-0.1492,0.2302
SPY,2025-11-27,3,379,call,73.65,75.13,74.39,0.7934,0.2467
SPY,2025-11-27,3,379,put,3.25,3.31,3.28,-0.1794,0.2386
SPY,2025-11-27,3,385,call,67.46,68.82,68.14,0.7674,0.2248
SPY,2025-11-27,3,385,put,3.25,3.31,3.28,-0.2054,0.2349
SPY,2025-11-27,3,391,call,61.55,62.79,62.17,0.7415,0.2234
SPY,2025-11-27,3,391,put,3.14,3.2,3.17,-0.2313,0.2234
SPY,2025-11-27,3,397,call,55.73,56.86,56.3,0.7155,0.229
SPY,2025-11-27,3,397,put,2.96,3.02,2.99,-0.2573,0.2075
SPY,2025-11-27,3,403,call,49.54,50.54,50.04,0.6896,0.2079
SPY,2025-11-27,3,403,put,3.18,3.24,3.21,-0.2832,0.2196
SPY,2025-11-27,3,410,call,43.05,43.92,43.48,0.6593,0.2134
SPY,2025-11-27,3,410,put,3.66,3.74,3.7,-0.3135,0.2267
SPY,2025-11-27,3,416,call,37.1,37.85,37.48,0.6334,0.213
SPY,2025-11-27,3,416,put,3.36,3.43,3.39,-0.3394,0.208
SPY,2025-11-27,3,422,call,31.52,32.16,31.84,0.6075,0.2353
SPY,2025-11-27,3,422,put,3.53,3.6,3.56,-0.3653,0.2184
SPY,2025-11-27,3,428,call,25.33,25.84,25.59,0.5815,0.2199
SPY,2025-11-27,3,428,put,3.31,3.38,3.35,-0.3913,0.205
SPY,2025-11-27,3,434,call,19.27,19.66,19.47,0.5556,0.2124
SPY,2025-11-27,3,434,put,3.54,3.61,3.57,-0.4172,0.2189
SPY,2025-11-27,3,441,call,12.22,12.46,12.34,0.5253,0.2046
SPY,2025-11-27,3,441,put,3.55,3.62,3.59,-0.4475,0.2199
SPY,2025-11-27,3,447,call,6.34,6.47,6.41,0.4994,0.2087
SPY,2025-11-27,3,447,put,3.42,3.49,3.46,-0.4734,0.2118
SPY,2025-11-27,3,453,call,3.37,3.44,3.41,0.4734,0.2087
SPY,2025-11-27,3,453,put,6.74,6.87,6.81,-0.4994,0.2332
SPY,2025-11-27,3,459,call,3.49,3.56,3.52,0.4475,0.216
SPY,2025-11-27,3,459,put,12.23,12.48,12.36,-0.5253,0.2056
SPY,2025-11-27,3,466,call,3.65,3.72,3.69,0.4172,0.226
SPY,2025-11-27,3,466,put,19.16,19.55,19.36,-0.5556,0.2056
SPY,2025-11-27,3,472,call,3.58,3.65,3.61,0.3913,0.2213
SPY,2025-11-27,3,472,put,25.0,25.51,25.26,-0.5815,0.1996
SPY,2025-11-27,3,478,call,3.35,3.42,3.38,0.3653,0.2074
SPY,2025-11-27,3,478,put,31.32,31.95,31.63,-0.6075,0.2226
SPY,2025-11-27,3,484,call,3.71,3.78,3.75,0.3394,0.2295
SPY,2025-11-27,3,484,put,37.28,38.03,37.65,-0.6334,0.2238
SPY,2025-11-27,3,490,call,3.59,3.67,3.63,0.3135,0.2224
SPY,2025-11-27,3,490,put,43.16,44.03,43.6,-0.6593,0.2205
SPY,2025-11-27,3,497,call,3.04,3.11,3.07,0.2832,0.2104
SPY,2025-11-27,3,497,put,49.68,50.69,50.19,-0.6896,0.218
SPY,2025-11-27,3,503,call,3.16,3.23,3.2,0.2573,0.222
SPY,2025-11-27,3,503,put,55.85,56.98,56.41,-0.7155,0.2372
SPY,2025-11-27,3,509,call,3.25,3.32,3.28,0.2313,0.2315
SPY,2025-11-27,3,509,put,61.36,62.6,61.98,-0.7415,0.2104
SPY,2025-11-27,3,515,call,3.22,3.28,3.25,0.2054,0.2327
SPY,2025-11-27,3,515,put,67.47,68.83,68.15,-0.7674,0.2256
SPY,2025-11-27,3,521,call,3.05,3.11,3.08,0.1794,0.2241
SPY,2025-11-27,3,521,put,73.51,75.0,74.26,-0.7934,0.237
SPY,2025-11-27,3,528,call,3.24,3.31,3.28,0.1492,0.2429
SPY,2025-11-27,3,528,put,80.45,82.08,81.26,-0.8236,0.2419
SPY,2025-11-27,3,534,call,2.96,3.02,2.99,0.1232,0.2256
SPY,2025-11-27,3,534,put,86.19,87.94,87.06,-0.8496,0.2309
SPY,2025-11-27,3,540,call,3.09,3.15,3.12,0.0973,0.2387
SPY,2025-11-27,3,540,put,92.27,94.13,93.2,-0.8755,0.2452
SPY,2025-11-29,5,360,call,92.87,94.75,93.81,0.8684,0.2262
SPY,2025-11-29,5,360,put,3.82,3.9,3.86,-0.0965,0.2291
SPY,2025-11-29,5,366,call,86.87,88.62,87.74,0.8427,0.2185
SPY,2025-11-29,5,366,put,3.69,3.77,3.73,-0.1222,0.2176
SPY,2025-11-29,5,372,call,81.29,82.94,82.12,0.8169,0.2363
SPY,2025-11-29,5,372,put,4.17,4.25,4.21,-0.1479,0.2418
SPY,2025-11-29,5,379,call,74.26,75.76,75.01,0.7869,0.2258
SPY,2025-11-29,5,379,put,4.16,4.24,4.2,-0.178,0.2366
SPY,2025-11-29,5,385,call,68.43,69.82,69.12,0.7612,0.2288
SPY,2025-11-29,5,385,put,3.9,3.98,3.94,-0.2037,0.2187
SPY,2025-11-29,5,391,call,62.53,63.79,63.16,0.7355,0.2274
SPY,2025-11-29,5,391,put,4.33,4.42,4.38,-0.2294,0.2391
SPY,2025-11-29,5,397,call,56.55,57.7,57.13,0.7097,0.222
SPY,2025-11-29,5,397,put,4.38,4.47,4.42,-0.2552,0.238
SPY,2025-11-29,5,403,call,50.17,51.18,50.68,0.684,0.1948
SPY,2025-11-29,5,403,put,4.28,4.37,4.32,-0.2809,0.2292
SPY,2025-11-29,5,410,call,44.19,45.09,44.64,0.654,0.2202
SPY,2025-11-29,5,410,put,4.51,4.6,4.56,-0.3109,0.2163
SPY,2025-11-29,5,416,call,38.23,39.0,38.61,0.6282,0.2189
SPY,2025-11-29,5,416,put,4.13,4.22,4.17,-0.3366,0.1981
SPY,2025-11-29,5,422,call,32.19,32.84,32.51,0.6025,0.2143
SPY,2025-11-29,5,422,put,4.59,4.68,4.64,-0.3624,0.2201
SPY,2025-11-29,5,428,call,26.57,27.11,26.84,0.5768,0.2299
SPY,2025-11-29,5,428,put,4.38,4.47,4.42,-0.3881,0.21
SPY,2025-11-29,5,434,call,20.13,20.53,20.33,0.5511,0.2056
SPY,2025-11-29,5,434,put,4.35,4.44,4.4,-0.4138,0.2087
SPY,2025-11-29,5,441,call,13.53,13.8,13.66,0.521,0.2213
SPY,2025-11-29,5,441,put,4.49,4.58,4.54,-0.4438,0.2154
SPY,2025-11-29,5,447,call,7.25,7.4,7.33,0.4953,0.2054
SPY,2025-11-29,5,447,put,4.5,4.59,4.55,-0.4696,0.2158
SPY,2025-11-29,5,453,call,4.42,4.5,4.46,0.4696,0.2117
SPY,2025-11-29,5,453,put,7.57,7.72,7.64,-0.4953,0.2204
SPY,2025-11-29,5,459,call,4.28,4.36,4.32,0.4438,0.2051
SPY,2025-11-29,5,459,put,13.26,13.53,13.4,-0.521,0.2088
SPY,2025-11-29,5,466,call,4.38,4.46,4.42,0.4138,0.2098
SPY,2025-11-29,5,466,put,19.99,20.4,20.19,-0.5511,0.1991
SPY,2025-11-29,5,472,call,4.55,4.64,4.59,0.3881,0.2181
SPY,2025-11-29,5,472,put,26.32,26.85,26.59,-0.5768,0.2177
SPY,2025-11-29,5,478,call,4.52,4.61,4.56,0.3624,0.2166
SPY,2025-11-29,5,478,put,32.19,32.84,32.51,-0.6025,0.2142
SPY,2025-11-29,5,484,call,4.25,4.34,4.29,0.3366,0.2038
SPY,2025-11-29,5,484,put,38.12,38.89,38.5,-0.6282,0.2137
SPY,2025-11-29,5,490,call,4.5,4.59,4.55,0.3109,0.2159
SPY,2025-11-29,5,490,put,44.01,44.9,44.45,-0.654,0.2113
SPY,2025-11-29,5,497,call,4.1,4.18,4.14,0.2809,0.2194
SPY,2025-11-29,5,497,put,50.73,51.76,51.25,-0.684,0.225
SPY,2025-11-29,5,503,call,4.44,4.53,4.48,0.2552,0.2412
SPY,2025-11-29,5,503,put,56.59,57.74,57.17,-0.7097,0.2241
SPY,2025-11-29,5,509,call,4.1,4.18,4.14,0.2294,0.2263
SPY,2025-11-29,5,509,put,62.45,63.71,63.08,-0.7355,0.223
SPY,2025-11-29,5,515,call,3.68,3.75,3.71,0.2037,0.206
SPY,2025-11-29,5,515,put,68.36,69.74,69.05,-0.7612,0.2249
SPY,2025-11-29,5,521,call,3.99,4.07,4.03,0.178,0.2272
SPY,2025-11-29,5,521,put,74.7,76.21,75.46,-0.7869,0.2512
SPY,2025-11-29,5,528,call,3.9,3.98,3.94,0.1479,0.2263
SPY,2025-11-29,5,528,put,81.21,82.85,82.03,-0.8169,0.2312
SPY,2025-11-29,5,534,call,3.89,3.97,3.93,0.1222,0.2293
SPY,2025-11-29,5,534,put,86.86,88.61,87.73,-0.8427,0.2179
SPY,2025-11-29,5,540,call,4.04,4.13,4.09,0.0965,0.2424
SPY,2025-11-29,5,540,put,93.08,94.96,94.02,-0.8684,0.2385
SPY,2025-12-01,7,360,call,93.73,95.62,94.68,0.8626,0.2345
SPY,2025-12-01,7,360,put,4.29,4.38,4.34,-0.0958,0.2175
SPY,2025-12-01,7,366,call,87.96,89.74,88.85,0.8371,0.2393
SPY,2025-12-01,7,366,put,4.24,4.32,4.28,-0.1214,0.2112
SPY,2025-12-01,7,372,call,81.91,83.56,82.73,0.8115,0.2297
SPY,2025-12-01,7,372,put,5.01,5.12,5.07,-0.147,0.2458
SPY,2025-12-01,7,379,call,74.7,76.21,75.46,0.7817,0.2123
SPY,2025-12-01,7,379,put,4.5,4.59,4.55,-0.1768,0.2166
SPY,2025-12-01,7,385,call,69.04,70.43,69.73,0.7561,0.2219
SPY,2025-12-01,7,385,put,4.56,4.65,4.6,-0.2023,0.2158
SPY,2025-12-01,7,391,call,62.78,64.05,63.42,0.7306,0.204
SPY,2025-12-01,7,391,put,4.72,4.82,4.77,-0.2279,0.2202
SPY,2025-12-01,7,397,call,56.99,58.14,57.56,0.705,0.2075
SPY,2025-12-01,7,397,put,4.85,4.95,4.9,-0.2535,0.2229
SPY,2025-12-01,7,403,call,51.12,52.15,51.63,0.6794,0.2076
SPY,2025-12-01,7,403,put,5.13,5.24,5.19,-0.279,0.2323
SPY,2025-12-01,7,410,call,44.72,45.62,45.17,0.6496,0.2073
SPY,2025-12-01,7,410,put,5.23,5.33,5.28,-0.3088,0.2119
SPY,2025-12-01,7,416,call,39.14,39.93,39.53,0.6241,0.2219
SPY,2025-12-01,7,416,put,4.97,5.07,5.02,-0.3344,0.2015
SPY,2025-12-01,7,422,call,33.02,33.69,33.35,0.5985,0.2147
SPY,2025-12-01,7,422,put,5.56,5.68,5.62,-0.36,0.2255
SPY,2025-12-01,7,428,call,26.59,27.13,26.86,0.5729,0.195
SPY,2025-12-01,7,428,put,5.25,5.36,5.31,-0.3855,0.2129
SPY,2025-12-01,7,434,call,21.08,21.5,21.29,0.5474,0.2123
SPY,2025-12-01,7,434,put,5.37,5.48,5.42,-0.4111,0.2175
SPY,2025-12-01,7,441,call,13.74,14.02,13.88,0.5176,0.1957
SPY,2025-12-01,7,441,put,4.81,4.91,4.86,-0.4409,0.1949
SPY,2025-12-01,7,447,call,8.2,8.36,8.28,0.492,0.2119
SPY,2025-12-01,7,447,put,5.17,5.28,5.23,-0.4664,0.2097
SPY,2025-12-01,7,453,call,5.16,5.27,5.21,0.4664,0.2092
SPY,2025-12-01,7,453,put,8.16,8.32,8.24,-0.492,0.2102
SPY,2025-12-01,7,459,call,4.97,5.07,5.02,0.4409,0.2013
SPY,2025-12-01,7,459,put,14.1,14.39,14.24,-0.5176,0.2104
SPY,2025-12-01,7,466,call,5.25,5.35,5.3,0.4111,0.2126
SPY,2025-12-01,7,466,put,20.84,21.26,21.05,-0.5474,0.2025
SPY,2025-12-01,7,472,call,5.67,5.78,5.73,0.3855,0.2297
SPY,2025-12-01,7,472,put,27.11,27.65,27.38,-0.5729,0.2158
SPY,2025-12-01,7,478,call,4.95,5.05,5.0,0.36,0.2005
SPY,2025-12-01,7,478,put,33.12,33.79,33.46,-0.5985,0.219
SPY,2025-12-01,7,484,call,5.03,5.14,5.09,0.3344,0.204
SPY,2025-12-01,7,484,put,39.13,39.92,39.53,-0.6241,0.2217
SPY,2025-12-01,7,490,call,5.59,5.71,5.65,0.3088,0.2267
SPY,2025-12-01,7,490,put,44.71,45.61,45.16,-0.6496,0.2069
SPY,2025-12-01,7,497,call,5.0,5.1,5.05,0.279,0.2264
SPY,2025-12-01,7,497,put,51.41,52.45,51.93,-0.6794,0.2209
SPY,2025-12-01,7,503,call,4.93,5.03,4.98,0.2535,0.2264
SPY,2025-12-01,7,503,put,57.63,58.8,58.21,-0.705,0.2371
SPY,2025-12-01,7,509,call,4.66,4.75,4.7,0.2279,0.2171
SPY,2025-12-01,7,509,put,62.96,64.23,63.59,-0.7306,0.212
SPY,2025-12-01,7,515,call,4.48,4.57,4.52,0.2023,0.212
SPY,2025-12-01,7,515,put,68.84,70.23,69.54,-0.7561,0.2127
SPY,2025-12-01,7,521,call,4.6,4.7,4.65,0.1768,0.2215
SPY,2025-12-01,7,521,put,74.98,76.5,75.74,-0.7817,0.2257
SPY,2025-12-01,7,528,call,4.62,4.72,4.67,0.147,0.2266
SPY,2025-12-01,7,528,put,81.95,83.61,82.78,-0.8115,0.2321
SPY,2025-12-01,7,534,call,4.52,4.62,4.57,0.1214,0.2254
SPY,2025-12-01,7,534,put,87.97,89.75,88.86,-0.8371,0.2398
SPY,2025-12-01,7,540,call,4.42,4.51,4.47,0.0958,0.224
SPY,2025-12-01,7,540,put,94.11,96.01,95.06,-0.8626,0.2538
SPY,2025-12-04,10,360,call,94.44,96.35,95.39,0.8553,0.2263
SPY,2025-12-04,10,360,put,4.99,5.09,5.04,-0.095,0.2114
SPY,2025-12-04,10,366,call,88.15,89.93,89.04,0.83,0.208
SPY,2025-12-04,10,366,put,5.36,5.47,5.42,-0.1204,0.2235
SPY,2025-12-04,10,372,call,82.46,84.13,83.3,0.8046,0.2151
SPY,2025-12-04,10,372,put,5.47,5.58,5.53,-0.1457,0.2245
SPY,2025-12-04,10,379,call,75.77,77.3,76.53,0.7751,0.2205
SPY,2025-12-04,10,379,put,5.34,5.45,5.39,-0.1753,0.215
SPY,2025-12-04,10,385,call,69.55,70.95,70.25,0.7497,0.206
SPY,2025-12-04,10,385,put,5.03,5.13,5.08,-0.2006,0.1993
SPY,2025-12-04,10,391,call,63.76,65.04,64.4,0.7244,0.2086
SPY,2025-12-04,10,391,put,5.68,5.8,5.74,-0.226,0.2217
SPY,2025-12-04,10,397,call,58.04,59.21,58.62,0.699,0.2139
SPY,2025-12-04,10,397,put,5.19,5.29,5.24,-0.2513,0.1993
SPY,2025-12-04,10,403,call,52.14,53.19,52.66,0.6737,0.2122
SPY,2025-12-04,10,403,put,5.66,5.78,5.72,-0.2767,0.2143
SPY,2025-12-04,10,410,call,45.5,46.42,45.96,0.6441,0.2001
SPY,2025-12-04,10,410,put,6.21,6.33,6.27,-0.3062,0.2104
SPY,2025-12-04,10,416,call,39.8,40.6,40.2,0.6188,0.2081
SPY,2025-12-04,10,416,put,5.78,5.9,5.84,-0.3316,0.1961
SPY,2025-12-04,10,422,call,33.91,34.59,34.25,0.5934,0.2098
SPY,2025-12-04,10,422,put,6.25,6.37,6.31,-0.3569,0.2118
SPY,2025-12-04,10,428,call,28.14,28.71,28.43,0.5681,0.2157
SPY,2025-12-04,10,428,put,6.35,6.48,6.42,-0.3822,0.2154
SPY,2025-12-04,10,434,call,21.44,21.87,21.65,0.5428,0.1898
SPY,2025-12-04,10,434,put,5.73,5.84,5.79,-0.4076,0.1942
SPY,2025-12-04,10,441,call,15.02,15.33,15.17,0.5132,0.2072
SPY,2025-12-04,10,441,put,6.11,6.23,6.17,-0.4372,0.2071
SPY,2025-12-04,10,447,call,9.04,9.22,9.13,0.4878,0.2058
SPY,2025-12-04,10,447,put,7.06,7.2,7.13,-0.4625,0.2392
SPY,2025-12-04,10,453,call,6.09,6.21,6.15,0.4625,0.2064
SPY,2025-12-04,10,453,put,9.22,9.41,9.32,-0.4878,0.212
SPY,2025-12-04,10,459,call,6.24,6.36,6.3,0.4372,0.2115
SPY,2025-12-04,10,459,put,15.06,15.36,15.21,-0.5132,0.2085
SPY,2025-12-04,10,466,call,5.91,6.03,5.97,0.4076,0.2004
SPY,2025-12-04,10,466,put,22.07,22.51,22.29,-0.5428,0.2111
SPY,2025-12-04,10,472,call,5.82,5.93,5.88,0.3822,0.1972
SPY,2025-12-04,10,472,put,27.75,28.31,28.03,-0.5681,0.2025
SPY,2025-12-04,10,478,call,5.94,6.06,6.0,0.3569,0.2014
SPY,2025-12-04,10,478,put,33.83,34.51,34.17,-0.5934,0.207
SPY,2025-12-04,10,484,call,6.8,6.94,6.87,0.3316,0.2307
SPY,2025-12-04,10,484,put,39.23,40.02,39.63,-0.6188,0.1889
SPY,2025-12-04,10,490,call,6.37,6.49,6.43,0.3062,0.2158
SPY,2025-12-04,10,490,put,45.29,46.2,45.74,-0.6441,0.1928
SPY,2025-12-04,10,497,call,5.43,5.54,5.49,0.2767,0.2057
SPY,2025-12-04,10,497,put,52.38,53.43,52.9,-0.6737,0.2213
SPY,2025-12-04,10,503,call,5.53,5.64,5.58,0.2513,0.2124
SPY,2025-12-04,10,503,put,57.7,58.87,58.28,-0.699,0.201
SPY,2025-12-04,10,509,call,5.28,5.39,5.33,0.226,0.206
SPY,2025-12-04,10,509,put,64.05,65.34,64.69,-0.7244,0.2199
SPY,2025-12-04,10,515,call,5.23,5.33,5.28,0.2006,0.2071
SPY,2025-12-04,10,515,put,69.82,71.23,70.52,-0.7497,0.2166
SPY,2025-12-04,10,521,call,5.37,5.48,5.43,0.1753,0.2162
SPY,2025-12-04,10,521,put,75.49,77.01,76.25,-0.7751,0.2093
SPY,2025-12-04,10,528,call,5.82,5.94,5.88,0.1457,0.2388
SPY,2025-12-04,10,528,put,82.67,84.34,83.51,-0.8046,0.2237
SPY,2025-12-04,10,534,call,4.76,4.86,4.81,0.1204,0.1984
SPY,2025-12-04,10,534,put,88.45,90.24,89.34,-0.83,0.2205
SPY,2025-12-04,10,540,call,5.04,5.14,5.09,0.095,0.2134
SPY,2025-12-04,10,540,put,94.49,96.4,95.45,-0.8553,0.2285
